team_key,season_label,wins,losses,playoff_result,championships,source_key
gsw,1994-95,26,56,,0,wikipedia_warriors_seasons
gsw,1995-96,36,46,,0,wikipedia_warriors_seasons
gsw,1996-97,30,52,,0,wikipedia_warriors_seasons
gsw,1997-98,19,63,,0,wikipedia_warriors_seasons
gsw,1998-99,21,29,,0,wikipedia_warriors_seasons
gsw,1999-00,19,63,,0,wikipedia_warriors_seasons
gsw,2000-01,17,65,,0,wikipedia_warriors_seasons
gsw,2001-02,21,61,,0,wikipedia_warriors_seasons
gsw,2002-03,38,44,,0,wikipedia_warriors_seasons
gsw,2003-04,37,45,,0,wikipedia_warriors_seasons
gsw,2004-05,34,48,,0,wikipedia_warriors_seasons
gsw,2005-06,34,48,,0,wikipedia_warriors_seasons
gsw,2006-07,42,40,Lost conference semifinals,0,wikipedia_warriors_seasons
gsw,2007-08,48,34,,0,wikipedia_warriors_seasons
gsw,2008-09,29,53,,0,wikipedia_warriors_seasons
gsw,2009-10,26,56,,0,wikipedia_warriors_seasons
gsw,2010-11,36,46,,0,wikipedia_warriors_seasons
gsw,2011-12,23,43,,0,wikipedia_warriors_seasons
gsw,2012-13,47,35,Lost conference semifinals,0,wikipedia_warriors_seasons
gsw,2013-14,51,31,Lost first round,0,wikipedia_warriors_seasons
gsw,2014-15,67,15,Won NBA Finals,1,wikipedia_warriors_seasons
gsw,2015-16,73,9,Lost NBA Finals,0,wikipedia_warriors_seasons
gsw,2016-17,67,15,Won NBA Finals,1,wikipedia_warriors_seasons
gsw,2017-18,58,24,Won NBA Finals,1,wikipedia_warriors_seasons
gsw,2018-19,57,25,Lost NBA Finals,0,wikipedia_warriors_seasons
gsw,2019-20,15,50,,0,wikipedia_warriors_seasons
gsw,2020-21,39,33,Lost play-in,0,wikipedia_warriors_seasons
gsw,2021-22,53,29,Won NBA Finals,1,wikipedia_warriors_seasons
gsw,2022-23,44,38,Lost conference semifinals,0,wikipedia_warriors_seasons
gsw,2023-24,46,36,Lost play-in,0,wikipedia_warriors_seasons
gsw,2024-25,48,34,Lost conference semifinals,0,wikipedia_warriors_seasons
gsw,2025-26,37,45,Did not qualify,0,wikipedia_warriors_seasons
